year,month,date,weekday,hour,minute,gym,swim
2018,12,8,6,20,20,26,13
2018,12,8,6,20,21,26,13
2018,12,8,6,20,22,27,13
2018,12,8,6,20,23,27,12
2018,12,8,6,20,24,28,12
2018,12,8,6,20,25,27,12
2018,12,8,6,20,26,27,13
2018,12,8,6,20,27,28,13
2018,12,8,6,20,28,27,12
2018,12,8,6,20,29,27,12
2018,12,8,6,20,30,25,10
2018,12,8,6,20,31,22,11
2018,12,8,6,20,32,22,10
2018,12,8,6,20,33,23,16
2018,12,8,6,20,34,25,16
2018,12,8,6,20,35,25,17
2018,12,8,6,20,36,24,17
2018,12,8,6,20,37,25,17
2018,12,8,6,20,38,24,17
2018,12,8,6,20,39,24,17
2018,12,8,6,20,41,24,16
2018,12,8,6,20,42,24,16
2018,12,8,6,20,43,24,17
2018,12,8,6,22,20,2,12
2018,12,8,6,22,21,2,12
2018,12,8,6,22,22,2,12
2018,12,8,6,22,23,2,12
2018,12,8,6,22,24,2,12
2018,12,8,6,22,25,2,12
2018,12,8,6,22,26,2,12
2018,12,8,6,22,27,2,12
2018,12,8,6,22,28,2,12
2018,12,8,6,22,29,2,12
2018,12,8,6,22,30,2,12
2018,12,8,6,22,31,2,12
2018,12,8,6,22,32,2,12
2018,12,8,6,22,33,2,12
2018,12,8,6,22,34,2,12
2018,12,8,6,22,36,2,12
2018,12,8,6,22,37,2,12
2018,12,8,6,22,38,2,12
2018,12,8,6,22,39,2,12
2018,12,8,6,22,40,2,12
2018,12,8,6,22,41,2,12
2018,12,8,6,22,42,2,12
2018,12,8,6,22,43,2,12
2018,12,8,6,22,44,2,12
2018,12,8,6,22,45,2,12
2018,12,8,6,22,46,2,12
2018,12,8,6,22,47,2,12
2018,12,8,6,22,48,2,12
2018,12,8,6,22,49,2,12
2018,12,8,6,22,50,2,12
2018,12,8,6,22,51,2,12
2018,12,8,6,22,52,2,12
2018,12,8,6,22,53,2,12
2018,12,8,6,22,54,2,12
2018,12,8,6,22,55,2,12
2018,12,8,6,22,56,2,12
2018,12,8,6,22,57,2,12
2018,12,8,6,22,58,2,12
2018,12,8,6,22,59,2,12
2018,12,8,6,23,0,2,12
2018,12,8,6,23,1,2,12
2018,12,8,6,23,2,2,12
2018,12,8,6,23,3,2,12
2018,12,8,6,23,4,2,12
2018,12,8,6,23,5,2,12
2018,12,8,6,23,6,2,12
2018,12,8,6,23,7,2,12
2018,12,8,6,23,8,2,12
2018,12,8,6,23,9,2,12
2018,12,8,6,23,10,2,12
2018,12,8,6,23,11,2,12
2018,12,8,6,23,12,2,12
2018,12,8,6,23,13,2,12
2018,12,8,6,23,14,2,12
2018,12,8,6,23,15,2,12
2018,12,8,6,23,16,2,12
2018,12,8,6,23,17,2,12
2018,12,8,6,23,18,2,12
2018,12,8,6,23,19,2,12
2018,12,8,6,23,20,2,12
2018,12,8,6,23,21,2,12
2018,12,8,6,23,22,2,12
2018,12,8,6,23,23,2,12
2018,12,8,6,23,24,2,12
2018,12,8,6,23,25,2,12
2018,12,8,6,23,26,2,12
2018,12,8,6,23,27,2,12
2018,12,8,6,23,28,2,12
