year,month,date,weekday,hour,minute,gym,swim
2018,12,8,6,20,20,35,66
2018,12,8,6,20,21,38,67
2018,12,8,6,20,22,38,67
2018,12,8,6,20,23,39,67
2018,12,8,6,20,24,38,67
2018,12,8,6,20,25,37,67
2018,12,8,6,20,26,38,67
2018,12,8,6,20,27,37,66
2018,12,8,6,20,28,37,66
2018,12,8,6,20,29,39,66
2018,12,8,6,20,30,42,65
2018,12,8,6,20,31,42,65
2018,12,8,6,20,32,42,64
2018,12,8,6,20,33,42,61
2018,12,8,6,20,34,43,60
2018,12,8,6,20,35,43,59
2018,12,8,6,20,36,43,58
2018,12,8,6,20,37,43,55
2018,12,8,6,20,38,43,53
2018,12,8,6,20,39,45,51
2018,12,8,6,20,41,46,51
2018,12,8,6,20,42,45,51
2018,12,8,6,20,43,46,52
2018,12,8,6,22,20,10,0
2018,12,8,6,22,21,10,2
2018,12,8,6,22,22,10,0
2018,12,8,6,22,23,10,0
2018,12,8,6,22,24,10,0
2018,12,8,6,22,25,10,0
2018,12,8,6,22,26,10,0
2018,12,8,6,22,27,10,0
2018,12,8,6,22,28,10,0
2018,12,8,6,22,29,10,0
2018,12,8,6,22,30,10,0
2018,12,8,6,22,31,10,0
2018,12,8,6,22,32,10,0
2018,12,8,6,22,33,10,0
2018,12,8,6,22,34,10,0
2018,12,8,6,22,36,10,0
2018,12,8,6,22,37,10,0
2018,12,8,6,22,38,10,0
2018,12,8,6,22,39,10,0
2018,12,8,6,22,40,10,0
2018,12,8,6,22,41,10,0
2018,12,8,6,22,42,10,0
2018,12,8,6,22,43,10,0
2018,12,8,6,22,44,10,0
2018,12,8,6,22,45,10,0
2018,12,8,6,22,46,10,0
2018,12,8,6,22,47,10,0
2018,12,8,6,22,48,10,0
2018,12,8,6,22,49,10,0
2018,12,8,6,22,50,10,0
2018,12,8,6,22,51,10,0
2018,12,8,6,22,52,10,0
2018,12,8,6,22,53,10,0
2018,12,8,6,22,54,10,0
2018,12,8,6,22,55,10,0
2018,12,8,6,22,56,10,0
2018,12,8,6,22,57,10,0
2018,12,8,6,22,58,10,0
2018,12,8,6,22,59,10,0
2018,12,8,6,23,0,10,0
2018,12,8,6,23,1,10,0
2018,12,8,6,23,2,10,0
2018,12,8,6,23,3,10,0
2018,12,8,6,23,4,10,0
2018,12,8,6,23,5,10,0
2018,12,8,6,23,6,10,0
2018,12,8,6,23,7,10,0
2018,12,8,6,23,8,10,0
2018,12,8,6,23,9,10,0
2018,12,8,6,23,10,10,0
2018,12,8,6,23,11,10,0
2018,12,8,6,23,12,10,0
2018,12,8,6,23,13,10,0
2018,12,8,6,23,14,10,0
2018,12,8,6,23,15,10,0
2018,12,8,6,23,16,10,0
2018,12,8,6,23,17,10,0
2018,12,8,6,23,18,10,0
2018,12,8,6,23,19,10,0
2018,12,8,6,23,20,10,0
2018,12,8,6,23,21,10,0
2018,12,8,6,23,22,10,0
2018,12,8,6,23,23,10,0
2018,12,8,6,23,24,10,0
2018,12,8,6,23,25,10,0
2018,12,8,6,23,26,10,0
2018,12,8,6,23,27,10,0
2018,12,8,6,23,28,10,0
2018,12,8,6,23,29,10,0
2018,12,8,6,23,30,10,0
2018,12,8,6,23,31,10,0
2018,12,8,6,23,32,10,0
2018,12,8,6,23,33,10,0
2018,12,8,6,23,34,10,0
2018,12,8,6,23,35,10,0
2018,12,8,6,23,37,10,0
2018,12,8,6,23,38,10,0
2018,12,8,6,23,39,10,0
2018,12,8,6,23,40,10,0
2018,12,8,6,23,41,10,0
2018,12,8,6,23,42,10,0
2018,12,8,6,23,43,10,0
2018,12,8,6,23,44,10,0
2018,12,8,6,23,45,10,0
2018,12,8,6,23,46,10,0
2018,12,8,6,23,47,10,0
2018,12,8,6,23,48,10,0
2018,12,8,6,23,49,10,0
2018,12,8,6,23,50,10,0
2018,12,8,6,23,51,10,0
2018,12,8,6,23,52,10,0
2018,12,8,6,23,53,10,0
2018,12,8,6,23,54,10,0
2018,12,8,6,23,55,10,0
2018,12,8,6,23,56,10,0
2018,12,8,6,23,57,10,0
2018,12,8,6,23,58,10,0
2018,12,8,6,23,59,10,0
2018,12,9,7,0,0,10,0
2018,12,9,7,0,1,10,0
2018,12,9,7,0,2,10,0
2018,12,9,7,0,3,10,0
2018,12,9,7,0,4,10,0
2018,12,9,7,0,5,10,0
2018,12,9,7,0,6,10,0
2018,12,9,7,0,7,10,0
2018,12,9,7,0,8,10,0
2018,12,9,7,0,9,10,0
2018,12,9,7,0,10,10,0
2018,12,9,7,0,11,10,0
2018,12,9,7,0,12,10,0
2018,12,9,7,0,13,10,0
2018,12,9,7,0,14,10,0
2018,12,9,7,0,15,10,0
2018,12,9,7,0,16,10,0
2018,12,9,7,0,17,10,0
2018,12,9,7,0,18,10,0
2018,12,9,7,0,19,10,0
2018,12,9,7,0,20,10,0
2018,12,9,7,0,21,10,0
2018,12,9,7,0,22,10,0
2018,12,9,7,0,23,10,0
2018,12,9,7,0,24,10,0
2018,12,9,7,0,25,10,0
2018,12,9,7,0,26,10,0
2018,12,9,7,0,27,10,0
2018,12,9,7,0,28,10,0
2018,12,9,7,0,29,10,0
2018,12,9,7,0,30,10,0
2018,12,9,7,0,31,10,0
2018,12,9,7,0,32,10,0
2018,12,9,7,0,33,10,0
2018,12,9,7,0,34,10,0
2018,12,9,7,0,35,10,0
2018,12,9,7,0,36,10,0
2018,12,9,7,0,38,10,0
2018,12,9,7,0,39,10,0
2018,12,9,7,0,40,10,0
2018,12,9,7,0,41,10,0
2018,12,9,7,0,42,10,0
2018,12,9,7,0,43,10,0
2018,12,9,7,0,44,10,0
2018,12,9,7,0,45,10,0
2018,12,9,7,0,46,10,0
2018,12,9,7,0,47,10,0
2018,12,9,7,0,48,10,0
2018,12,9,7,0,49,10,0
2018,12,9,7,0,50,10,0
2018,12,9,7,0,51,10,0
2018,12,9,7,0,52,10,0
2018,12,9,7,0,53,10,0
2018,12,9,7,0,54,10,0
2018,12,9,7,0,55,10,0
2018,12,9,7,0,56,10,0
2018,12,9,7,0,57,10,0
2018,12,9,7,0,58,10,0
2018,12,9,7,0,59,10,0
2018,12,9,7,1,0,10,0
2018,12,9,7,1,1,10,0
2018,12,9,7,1,2,10,0
2018,12,9,7,1,3,10,0
2018,12,9,7,1,4,10,0
2018,12,9,7,1,5,10,0
2018,12,9,7,1,6,10,0
