year,month,date,weekday,hour,minute,gym,swim
2018,12,8,6,20,20,36,25
2018,12,8,6,20,21,37,26
2018,12,8,6,20,22,38,27
2018,12,8,6,20,23,40,27
2018,12,8,6,20,24,39,27
2018,12,8,6,20,25,37,26
2018,12,8,6,20,26,37,26
2018,12,8,6,20,27,36,26
2018,12,8,6,20,28,37,26
2018,12,8,6,20,29,36,26
2018,12,8,6,20,30,34,26
2018,12,8,6,20,31,34,26
2018,12,8,6,20,32,35,26
2018,12,8,6,20,33,35,27
2018,12,8,6,20,34,35,29
2018,12,8,6,20,35,35,29
2018,12,8,6,20,36,36,29
2018,12,8,6,20,37,38,30
2018,12,8,6,20,38,37,30
2018,12,8,6,20,39,38,30
2018,12,8,6,20,41,40,30
2018,12,8,6,20,42,39,30
2018,12,8,6,20,43,41,30
2018,12,8,6,22,20,3,3
2018,12,8,6,22,21,3,2
2018,12,8,6,22,22,3,2
2018,12,8,6,22,23,3,2
2018,12,8,6,22,24,3,2
2018,12,8,6,22,25,3,2
2018,12,8,6,22,26,3,2
2018,12,8,6,22,27,3,2
2018,12,8,6,22,28,3,2
2018,12,8,6,22,29,3,2
2018,12,8,6,22,30,3,2
2018,12,8,6,22,31,3,2
2018,12,8,6,22,32,3,2
2018,12,8,6,22,33,3,2
2018,12,8,6,22,35,3,2
2018,12,8,6,22,36,3,2
2018,12,8,6,22,37,3,2
2018,12,8,6,22,38,3,2
2018,12,8,6,22,39,3,2
2018,12,8,6,22,40,3,2
2018,12,8,6,22,41,3,2
2018,12,8,6,22,42,3,2
2018,12,8,6,22,43,3,2
2018,12,8,6,22,44,3,2
2018,12,8,6,22,45,3,2
2018,12,8,6,22,46,3,2
2018,12,8,6,22,47,3,2
2018,12,8,6,22,48,3,2
2018,12,8,6,22,49,3,2
2018,12,8,6,22,50,3,2
2018,12,8,6,22,51,3,2
2018,12,8,6,22,52,3,2
2018,12,8,6,22,53,3,2
2018,12,8,6,22,54,3,2
2018,12,8,6,22,55,3,2
2018,12,8,6,22,56,3,2
2018,12,8,6,22,57,3,2
