year,month,date,weekday,hour,minute,gym,swim
2018,12,8,6,20,20,41,47
2018,12,8,6,20,21,43,47
2018,12,8,6,20,22,42,47
2018,12,8,6,20,23,41,47
2018,12,8,6,20,24,42,48
2018,12,8,6,20,25,43,48
2018,12,8,6,20,26,42,49
2018,12,8,6,20,27,42,49
2018,12,8,6,20,28,45,49
2018,12,8,6,20,29,48,50
2018,12,8,6,20,30,48,51
2018,12,8,6,20,31,49,52
2018,12,8,6,20,32,47,52
2018,12,8,6,20,33,47,52
2018,12,8,6,20,34,48,52
2018,12,8,6,20,35,49,52
2018,12,8,6,20,36,47,52
2018,12,8,6,20,37,49,52
2018,12,8,6,20,38,49,53
2018,12,8,6,20,39,49,54
2018,12,8,6,20,40,50,38
2018,12,8,6,20,42,50,38
2018,12,8,6,20,43,50,38
2018,12,8,6,22,20,4,44
2018,12,8,6,22,21,4,44
2018,12,8,6,22,22,4,44
2018,12,8,6,22,23,4,44
2018,12,8,6,22,24,4,44
2018,12,8,6,22,25,4,44
2018,12,8,6,22,26,4,44
2018,12,8,6,22,27,4,44
2018,12,8,6,22,28,4,44
2018,12,8,6,22,29,4,44
2018,12,8,6,22,30,4,44
2018,12,8,6,22,31,4,44
2018,12,8,6,22,32,4,44
2018,12,8,6,22,33,4,44
2018,12,8,6,22,34,4,44
2018,12,8,6,22,36,4,44
2018,12,8,6,22,37,4,44
2018,12,8,6,22,38,4,44
2018,12,8,6,22,39,4,44
2018,12,8,6,22,40,4,44
2018,12,8,6,22,41,4,44
2018,12,8,6,22,42,4,44
2018,12,8,6,22,43,4,44
2018,12,8,6,22,44,4,44
2018,12,8,6,22,45,4,44
2018,12,8,6,22,46,4,44
2018,12,8,6,22,47,4,44
2018,12,8,6,22,48,4,44
2018,12,8,6,22,49,4,44
2018,12,8,6,22,50,4,44
2018,12,8,6,22,51,4,44
2018,12,8,6,22,52,4,44
2018,12,8,6,22,53,4,44
2018,12,8,6,22,54,4,44
2018,12,8,6,22,55,4,44
2018,12,8,6,22,56,4,44
2018,12,8,6,22,57,4,44
2018,12,8,6,22,58,4,44
2018,12,8,6,22,59,4,44
2018,12,8,6,23,0,4,44
2018,12,8,6,23,1,4,44
2018,12,8,6,23,2,4,44
2018,12,8,6,23,3,4,44
2018,12,8,6,23,4,4,44
2018,12,8,6,23,5,4,44
2018,12,8,6,23,6,4,44
2018,12,8,6,23,7,4,44
2018,12,8,6,23,8,4,44
2018,12,8,6,23,9,4,44
2018,12,8,6,23,10,4,44
2018,12,8,6,23,11,4,44
2018,12,8,6,23,12,4,44
2018,12,8,6,23,13,4,44
2018,12,8,6,23,14,4,44
2018,12,8,6,23,15,4,44
2018,12,8,6,23,16,4,44
2018,12,8,6,23,17,4,44
2018,12,8,6,23,18,4,44
2018,12,8,6,23,19,4,44
2018,12,8,6,23,20,4,44
2018,12,8,6,23,21,4,44
2018,12,8,6,23,22,4,44
2018,12,8,6,23,23,4,44
2018,12,8,6,23,24,4,44
2018,12,8,6,23,25,4,44
2018,12,8,6,23,26,4,44
2018,12,8,6,23,27,4,44
2018,12,8,6,23,28,4,44
2018,12,8,6,23,29,4,44
2018,12,8,6,23,30,4,44
2018,12,8,6,23,31,4,44
2018,12,8,6,23,32,4,44
2018,12,8,6,23,33,4,44
2018,12,8,6,23,34,4,44
2018,12,8,6,23,35,4,44
2018,12,8,6,23,37,4,44
2018,12,8,6,23,38,4,44
2018,12,8,6,23,39,4,44
2018,12,8,6,23,40,4,44
2018,12,8,6,23,41,4,44
2018,12,8,6,23,42,4,44
2018,12,8,6,23,43,4,44
2018,12,8,6,23,44,4,44
2018,12,8,6,23,45,4,44
2018,12,8,6,23,46,4,44
2018,12,8,6,23,47,4,44
2018,12,8,6,23,48,4,44
2018,12,8,6,23,49,4,44
2018,12,8,6,23,50,4,44
2018,12,8,6,23,51,4,44
2018,12,8,6,23,52,4,44
2018,12,8,6,23,53,4,44
2018,12,8,6,23,54,4,44
2018,12,8,6,23,55,4,44
2018,12,8,6,23,56,4,44
2018,12,8,6,23,57,4,44
2018,12,8,6,23,58,4,44
2018,12,8,6,23,59,4,44
2018,12,9,7,0,0,4,44
2018,12,9,7,0,1,4,44
2018,12,9,7,0,2,4,44
2018,12,9,7,0,3,4,44
2018,12,9,7,0,4,4,44
2018,12,9,7,0,5,4,44
2018,12,9,7,0,6,4,44
2018,12,9,7,0,7,4,44
2018,12,9,7,0,8,4,44
2018,12,9,7,0,9,4,44
2018,12,9,7,0,10,4,44
2018,12,9,7,0,11,4,44
2018,12,9,7,0,12,4,44
2018,12,9,7,0,13,4,44
2018,12,9,7,0,14,4,44
2018,12,9,7,0,15,4,44
2018,12,9,7,0,16,4,44
2018,12,9,7,0,17,4,44
2018,12,9,7,0,18,4,44
2018,12,9,7,0,19,4,44
2018,12,9,7,0,20,4,44
2018,12,9,7,0,21,4,44
2018,12,9,7,0,22,4,44
2018,12,9,7,0,23,4,44
2018,12,9,7,0,24,4,44
2018,12,9,7,0,25,4,44
2018,12,9,7,0,26,4,44
2018,12,9,7,0,27,4,44
2018,12,9,7,0,28,4,44
2018,12,9,7,0,29,4,44
2018,12,9,7,0,30,4,44
2018,12,9,7,0,31,4,44
2018,12,9,7,0,32,4,44
2018,12,9,7,0,33,4,44
2018,12,9,7,0,34,4,44
2018,12,9,7,0,35,4,44
2018,12,9,7,0,36,4,44
2018,12,9,7,0,38,4,44
2018,12,9,7,0,39,4,44
2018,12,9,7,0,40,4,44
2018,12,9,7,0,41,4,44
2018,12,9,7,0,42,4,44
2018,12,9,7,0,43,4,44
2018,12,9,7,0,44,4,44
2018,12,9,7,0,45,4,44
2018,12,9,7,0,46,4,44
2018,12,9,7,0,47,4,44
2018,12,9,7,0,48,4,44
2018,12,9,7,0,49,4,44
2018,12,9,7,0,50,4,44
2018,12,9,7,0,51,4,44
2018,12,9,7,0,52,4,44
2018,12,9,7,0,53,4,44
2018,12,9,7,0,54,4,44
2018,12,9,7,0,55,4,44
2018,12,9,7,0,56,4,44
2018,12,9,7,0,57,4,44
2018,12,9,7,0,58,4,44
2018,12,9,7,0,59,4,44
2018,12,9,7,1,0,4,44
2018,12,9,7,1,1,4,44
2018,12,9,7,1,2,4,44
2018,12,9,7,1,3,4,44
2018,12,9,7,1,4,4,44
2018,12,9,7,1,5,4,44
2018,12,9,7,1,6,4,44
2018,12,9,7,1,7,4,44
2018,12,9,7,1,8,4,44
2018,12,9,7,1,9,4,44
2018,12,9,7,1,10,4,44
2018,12,9,7,1,11,4,44
2018,12,9,7,1,12,4,44
2018,12,9,7,1,13,4,44
2018,12,9,7,1,14,4,44
2018,12,9,7,1,15,4,44
2018,12,9,7,1,16,4,44
2018,12,9,7,1,17,4,44
2018,12,9,7,1,18,4,44
2018,12,9,7,1,19,4,44
2018,12,9,7,1,20,4,44
2018,12,9,7,1,21,4,44
2018,12,9,7,1,22,4,44
2018,12,9,7,1,23,4,44
2018,12,9,7,1,24,4,44
2018,12,9,7,1,25,4,44
2018,12,9,7,1,26,4,44
2018,12,9,7,1,27,4,44
2018,12,9,7,1,28,4,44
2018,12,9,7,1,29,4,44
2018,12,9,7,1,30,4,44
2018,12,9,7,1,31,4,44
2018,12,9,7,1,32,4,44
2018,12,9,7,1,33,4,44
2018,12,9,7,1,34,4,44
2018,12,9,7,1,35,4,44
2018,12,9,7,1,36,4,44
2018,12,9,7,1,37,4,44
2018,12,9,7,1,38,4,44
2018,12,9,7,1,39,4,44
2018,12,9,7,1,41,4,44
2018,12,9,7,1,42,4,44
2018,12,9,7,1,43,4,44
2018,12,9,7,1,44,4,44
2018,12,9,7,1,45,4,44
2018,12,9,7,1,46,4,44
2018,12,9,7,1,47,4,44
2018,12,9,7,1,48,4,44
2018,12,9,7,1,49,4,44
2018,12,9,7,1,50,4,44
2018,12,9,7,1,51,4,44
2018,12,9,7,1,52,4,44
2018,12,9,7,1,53,4,44
2018,12,9,7,1,54,4,44
2018,12,9,7,1,55,4,44
2018,12,9,7,1,56,4,44
2018,12,9,7,1,57,4,44
2018,12,9,7,1,58,4,44
2018,12,9,7,1,59,4,44
2018,12,9,7,2,0,4,44
2018,12,9,7,2,1,4,44
2018,12,9,7,2,2,4,44
2018,12,9,7,2,3,4,44
